feature_shap,feature
0.02078,primary_cleaner.input.copper_sulfate_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.02069,value__min_slope_p120_rougher.input.feed_rate
0.02036,value__mean_abs_change_p120_rougher.state.floatbank10_b_air
0.02012,rougher.input.feed_fe_rat_encod_val_primary_cleaner.input.feed_size
0.02005,primary_cleaner.input.copper_sulfate_poly_value__maximum_p6_rougher.input.feed_fe
0.02003,rougher.state.floatbank10_e_level
0.01998,value__max_min_diff_p120_rougher.input.feed_zn
0.01996,rel_encod_val_rougher.input.feed_pb_s3b0
0.01976,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_sol
0.01971,rougher.input.floatbank10_copper_sulfate
0.01956,encod_val_rougher.input.feed_fe_diff_encod_val_rougher.input.feed_zn
0.01952,encod_val_primary_cleaner.input.feed_size_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01951,rougher.state.floatbank10_a_level_poly_encod_val_rougher.input.feed_pb
0.01947,encod_dif_rougher.input.feed_pb_diff_encod_val_primary_cleaner.input.copper_sulfate
0.01940,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.01935,value__mean_abs_change_p120_rougher.input.feed_fe
0.01914,value__fft_aggregated__aggtype_centroid_p120_rougher.input.floatbank10_copper_sulfate
0.01913,rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01890,value__maximum_p6_rougher.input.feed_rate
0.01880,encod_val_primary_cleaner.input.feed_size_diff_encod_dif_rougher.input.feed_pb
0.01876,value__minimum_p6_rougher.state.floatbank10_b_air
0.01845,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_zn
0.01843,value__quantile__q_0.05_p24_rougher.input.feed_pb
0.01836,value__minimum_p6_rougher.input.floatbank11_xanthate_diff_encod_val_primary_cleaner.input.copper_sulfate
0.01834,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.01830,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.01825,value__kurtosis_p120_rougher.state.floatbank10_b_air
0.01816,rougher.input.floatbank10_xanthate_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01815,deriv1_rougher.input.feed_zn_rat_value__minimum_p6_rougher.input.floatbank11_xanthate
0.01812,rougher.state.floatbank10_a_level_poly_rougher.input.feed_sol
0.01794,value__quantile__q_0.05_p12_rougher.input.floatbank10_copper_sulfate
0.01746,rougher.input.feed_fe_poly_value__minimum_p6_rougher.input.floatbank11_xanthate
0.01736,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_fe
0.01705,value__quantile__q_0.95_p24_rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01696,encod_val_rougher.input.feed_zn_diff_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01684,value__maximum_p6_rougher.input.feed_fe_diff_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01682,deriv2_rougher.input.feed_zn
0.01676,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank11_xanthate
0.01663,value__maximum_p6_rougher.state.floatbank10_b_air
0.01661,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.01652,value__max_slope_p120_rougher.state.floatbank10_b_air
