feature_shap,feature
0.01633,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_sol
0.01627,rel_rougher.input.feed_rate_s3b0
0.01599,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_pb
0.01594,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_rate
0.01591,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_sol
0.01589,value__absolute_sum_of_changes_p12_rougher.input.feed_pb
0.01589,value__absolute_sum_of_changes_p24_rougher.input.floatbank11_xanthate
0.01588,rel_rougher.input.feed_sol_s3b0
0.01582,value__kurtosis_p120_rougher.input.feed_zn
0.01577,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.01517,value__quantile__q_0.05_p24_rougher.input.feed_zn
0.01514,value__skewness_p24_rougher.input.feed_rate
0.01467,value__linear_trend__attr_slope_p12_rougher.input.floatbank11_xanthate
0.01458,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.01439,value__absolute_sum_of_changes_p12_rougher.input.feed_sol
0.01437,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.01430,deriv1_rougher.input.feed_pb
0.01410,value__mean_p6_rougher.state.floatbank10_b_air
0.01405,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01396,value__fft_aggregated__aggtype_centroid_p12_rougher.state.floatbank10_b_air
0.01392,value__absolute_sum_of_changes_p24_rougher.input.feed_sol
0.01371,value__fft_aggregated__aggtype_centroid_p12_rougher.input.floatbank10_copper_sulfate
0.01363,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.01313,value__fft_aggregated__aggtype_centroid_p12_rougher.input.floatbank11_xanthate
0.01312,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_fe
0.01304,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_zn
0.01302,value__kurtosis_p12_rougher.input.feed_rate
0.01299,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_sol
0.01281,rougher.state.floatbank10_c_level
0.01280,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.01271,value__kurtosis_p24_rougher.input.feed_fe
0.01270,value__maximum_p6_rougher.input.floatbank11_xanthate
0.01270,value__skewness_p24_rougher.input.feed_fe
0.01263,value__fft_aggregated__aggtype_kurtosis_p24_rougher.state.floatbank10_b_air
0.01260,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank11_xanthate
0.01251,diff_encod_val_rougher.input.feed_zn_s2b0
0.01215,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_rate
0.01203,value__absolute_sum_of_changes_p12_rougher.input.feed_zn
0.01113,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_sol
0.01077,value__minimum_p6_rougher.input.feed_pb
0.01039,diff_rougher.input.floatbank10_copper_sulfate_s2b0
0.01036,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_rate
0.01012,value__skewness_p24_rougher.input.feed_pb
0.00985,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_zn
0.00976,value__quantile__q_0.05_p12_rougher.input.feed_rate
0.00971,deriv1_rougher.input.feed_fe
0.00964,value__skewness_p24_rougher.state.floatbank10_b_air
0.00956,deriv2_rougher.input.feed_pb
0.00954,deriv1_encod_rel_rougher.input.feed_zn
0.00938,rougher.input.floatbank10_copper_sulfate
0.00918,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank11_xanthate
0.00901,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_zn
0.00894,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_sol
0.00835,diff_rougher.input.floatbank10_xanthate_s3b1
0.00829,value__quantile__q_0.05_p12_rougher.input.floatbank10_copper_sulfate
0.00824,value__absolute_sum_of_changes_p24_rougher.input.feed_fe
0.00816,value__kurtosis_p12_rougher.input.floatbank10_copper_sulfate
0.00803,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.00800,value__mean_second_derivative_central_p12_rougher.input.feed_sol
0.00771,diff_rougher.input.feed_sol_s3b1
0.00757,value__kurtosis_p24_rougher.input.feed_zn
0.00752,rel_rougher.input.floatbank11_xanthate_s3b0
0.00752,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_fe
0.00746,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_rate
0.00739,value__absolute_sum_of_changes_p24_rougher.input.feed_rate
0.00737,value__mean_second_derivative_central_p120_rougher.input.floatbank10_copper_sulfate
0.00717,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_sol
0.00704,value__absolute_sum_of_changes_p12_rougher.state.floatbank10_b_air
0.00703,value__linear_trend__attr_slope_p12_rougher.input.feed_pb
0.00700,diff_encod_rel_rougher.input.feed_fe_s3b1
0.00699,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_pb
0.00686,diff_rougher.input.floatbank11_xanthate_s3b1
0.00680,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_pb
0.00677,diff_rougher.input.floatbank11_copper_sulfate_s3b1
0.00676,value__fft_aggregated__aggtype_centroid_p24_rougher.state.floatbank10_b_air
0.00672,deriv2_encod_val_rougher.input.feed_fe
0.00669,value__mean_p6_rougher.input.feed_fe
0.00667,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_rate
0.00664,value__absolute_sum_of_changes_p6_rougher.input.feed_rate
0.00659,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank11_xanthate
0.00638,value__fft_aggregated__aggtype_variance_p12_rougher.state.floatbank10_b_air
0.00634,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_fe
0.00618,value__kurtosis_p12_rougher.state.floatbank10_b_air
0.00617,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_zn
0.00615,value__mean_p6_rougher.input.feed_pb
0.00615,deriv2_encod_val_rougher.input.feed_zn
0.00601,value__linear_trend__attr_slope_p24_rougher.input.floatbank10_copper_sulfate
0.00595,value__absolute_sum_of_changes_p12_rougher.input.floatbank11_xanthate
0.00584,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_sol
0.00568,diff_rougher.input.feed_rate_s2b0
0.00564,rel_rougher.state.floatbank10_d_air_s3b0
0.00553,rel_encod_val_rougher.input.feed_zn_s3b0
0.00538,value__skewness_p12_rougher.input.feed_rate
0.00534,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_fe
0.00528,diff_rougher.input.feed_fe_s2b0
0.00520,value__kurtosis_p24_rougher.input.feed_sol
0.00519,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_rate
0.00509,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_zn
0.00503,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_pb
0.00502,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank10_copper_sulfate
0.00498,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_sol
0.00489,diff_rougher.input.feed_size_s2b0
0.00478,deriv2_rougher.input.feed_size
