feature_shap,feature
0.01221,value__maximum_p6_rougher.input.feed_fe_poly_deriv1_rougher.input.feed_zn
0.01221,value__quantile__q_0.95_p24_rougher.input.feed_sol
0.01220,value__max_slope_p120_primary_cleaner.input.copper_sulfate
0.01220,value__quantile__q_0.05_p120_primary_cleaner.input.feed_size
0.01219,value__linear_trend__attr_slope_p12_rougher.input.feed_pb
0.01218,encod_val_rougher.input.feed_pb
0.01214,value__max_slope_p120_rougher.input.feed_fe
0.01209,rougher.input.feed_pb
0.01209,value__quantile__q_0.95_p12_primary_cleaner.input.xanthate
0.01204,primary_cleaner.input.feed_size
0.01202,value__skewness_p24_primary_cleaner.input.xanthate
0.01201,value__minimum_p6_rougher.input.floatbank11_xanthate_poly_encod_val_primary_cleaner.input.copper_sulfate
0.01190,value__min_slope_p12_rougher.input.feed_rate
0.01188,encod_val_rougher.input.feed_fe_diff_encod_val_rougher.input.feed_zn
0.01175,encod_val_primary_cleaner.input.feed_size_diff_secondary_cleaner.state.floatbank2_a_air
0.01171,value__quantile__q_0.95_p120_rougher.input.feed_pb_diff_rougher.input.floatbank10_xanthate
0.01170,rel_rougher.input.floatbank11_xanthate_s3b0
0.01164,value__skewness_p24_rougher.input.feed_sol
0.01162,value__max_slope_p6_rougher.input.feed_fe
0.01161,value__max_slope_p120_rougher.input.floatbank11_xanthate
0.01159,value__mean_abs_change_p120_rougher.input.feed_sol
0.01159,value__min_slope_p12_rougher.input.floatbank11_xanthate
0.01159,encod_val_rougher.input.feed_fe_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01156,encod_val_rougher.input.feed_pb_diff_rougher.input.floatbank10_xanthate
0.01153,value__fft_aggregated__aggtype_skew_p120_rougher.state.floatbank10_b_air
0.01150,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.01148,encod_rel_primary_cleaner.input.xanthate
0.01143,value__fft_aggregated__aggtype_kurtosis_p120_rougher.state.floatbank10_b_air
0.01137,value__max_min_diff_p120_rougher.input.feed_pb
0.01135,value__mean_abs_change_p120_primary_cleaner.input.depressant
0.01135,value__mean_abs_change_p120_primary_cleaner.input.feed_size
0.01134,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.01131,value__fft_aggregated__aggtype_variance_p24_primary_cleaner.input.feed_size
0.01129,deriv1_encod_val_rougher.input.feed_zn
0.01129,encod_val_rougher.input.feed_zn_diff_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01128,rougher.state.floatbank10_e_level
0.01128,encod_val_rougher.input.feed_zn_rat_encod_val_rougher.input.feed_pb
0.01124,value__linear_trend__attr_slope_p24_rougher.input.feed_pb
0.01123,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.01115,value__max_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.01114,value__mean_abs_change_p120_rougher.state.floatbank10_b_air
0.01113,value__minimum_p6_rougher.input.floatbank11_xanthate_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01107,value__quantile__q_0.95_p24_secondary_cleaner.state.floatbank5_a_air
0.01107,rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01103,value__mean_p6_rougher.input.floatbank10_copper_sulfate
0.01103,rougher.input.feed_fe_diff_secondary_cleaner.state.floatbank2_a_air
0.01101,value__max_min_diff_p24_primary_cleaner.input.feed_size
0.01098,rougher.state.floatbank10_a_level_poly_rougher.input.floatbank10_xanthate
0.01098,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.01093,value__mean_abs_change_p24_primary_cleaner.input.depressant
0.01092,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.01091,rougher.state.floatbank10_a_level_diff_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01089,primary_cleaner.input.xanthate
0.01084,value__mean_abs_change_p120_rougher.input.feed_fe
0.01083,value__quantile__q_0.05_p120_secondary_cleaner.state.floatbank5_a_air
0.01079,value__maximum_p6_primary_cleaner.input.copper_sulfate
0.01077,secondary_cleaner.state.floatbank2_a_air
0.01075,deriv2_primary_cleaner.state.floatbank8_c_level
0.01074,rougher.input.feed_fe_rat_primary_cleaner.input.copper_sulfate
0.01067,value__linear_trend__attr_slope_p120_rougher.input.feed_zn
0.01060,value__quantile__q_0.05_p12_rougher.input.feed_zn
0.01060,value__mean_abs_change_p24_primary_cleaner.input.feed_size
0.01058,value__min_slope_p6_rougher.input.feed_fe
0.01056,value__kurtosis_p24_rougher.input.feed_fe
0.01052,value__min_slope_p120_primary_cleaner.input.copper_sulfate
0.01048,value__quantile__q_0.05_p120_primary_cleaner.input.copper_sulfate
0.01046,deriv2_rougher.input.floatbank10_xanthate
0.01045,secondary_cleaner.state.floatbank2_a_air_poly_encod_dif_rougher.input.feed_pb
0.01043,value__kurtosis_p120_primary_cleaner.input.feed_size
0.01042,rougher.input.feed_sol_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01035,value__maximum_p6_primary_cleaner.input.xanthate
0.01035,hour
0.01035,value__linear_trend__attr_slope_p12_primary_cleaner.input.xanthate
0.01033,value__kurtosis_p120_rougher.input.feed_rate
0.01030,value__linear_trend__attr_slope_p24_rougher.input.floatbank11_xanthate
0.01026,value__mean_abs_change_p24_primary_cleaner.state.floatbank8_a_air
0.01026,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.01023,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.01022,rougher.state.floatbank10_f_air
0.01022,rougher.input.feed_sol_rat_encod_val_rougher.input.feed_pb
0.01018,value__max_slope_p120_rougher.state.floatbank10_b_air
0.01011,deriv1_rougher.input.feed_rate
