iter	Passed	Remaining
605	9880	22727
606	9899	22717
607	9921	22716
608	9937	22699
609	9951	22675
610	9964	22652
611	9976	22627
612	9990	22604
613	10003	22582
614	10016	22558
615	10031	22537
616	10044	22513
617	10058	22493
618	10073	22473
619	10087	22453
620	10101	22432
621	10116	22411
622	10130	22390
623	10144	22370
624	10157	22347
625	10172	22328
626	10189	22313
627	10203	22290
628	10225	22287
629	10245	22279
630	10258	22257
631	10273	22238
632	10290	22221
633	10305	22204
634	10319	22182
635	10333	22162
636	10348	22142
637	10359	22116
638	10373	22094
639	10386	22071
640	10398	22046
641	10412	22024
642	10424	22000
643	10439	21980
644	10452	21958
645	10466	21938
646	10484	21924
647	10500	21909
648	10516	21891
649	10531	21873
650	10547	21855
651	10561	21836
652	10576	21817
653	10594	21804
654	10611	21789
655	10627	21774
656	10642	21754
657	10658	21739
658	10672	21718
659	10690	21705
660	10703	21682
661	10718	21663
662	10731	21641
663	10746	21622
664	10762	21605
665	10776	21585
666	10790	21564
667	10804	21544
668	10819	21525
669	10832	21503
670	10846	21483
671	10861	21464
672	10881	21455
673	10900	21444
674	10915	21426
675	10929	21406
676	10944	21387
677	10958	21367
678	10974	21350
679	10998	21349
680	11016	21336
681	11030	21316
682	11044	21297
683	11061	21282
684	11076	21263
685	11088	21238
686	11102	21219
687	11113	21193
688	11126	21170
689	11142	21154
690	11157	21135
691	11172	21117
692	11184	21094
693	11201	21080
694	11219	21066
695	11234	21047
696	11250	21032
697	11271	21024
698	11288	21010
699	11307	21000
700	11325	20986
701	11342	20972
702	11358	20955
703	11372	20935
704	11388	20919
705	11409	20911
706	11431	20907
707	11449	20892
708	11469	20884
709	11484	20866
710	11501	20851
711	11519	20837
712	11538	20827
713	11553	20809
714	11574	20801
715	11592	20788
716	11609	20774
717	11626	20759
718	11641	20740
719	11662	20732
720	11683	20725
721	11700	20711
722	11713	20689
723	11728	20671
724	11746	20657
725	11763	20642
726	11779	20625
727	11793	20605
728	11810	20590
729	11827	20576
730	11854	20579
731	11868	20559
732	11887	20546
733	11904	20533
734	11919	20515
735	11934	20496
736	11951	20482
737	11968	20466
738	11981	20444
739	11995	20425
740	12013	20411
741	12031	20398
742	12052	20390
743	12068	20374
744	12083	20355
745	12098	20336
746	12112	20316
747	12126	20296
748	12143	20281
749	12155	20259
750	12172	20244
751	12186	20223
752	12202	20208
753	12217	20189
754	12231	20170
755	12246	20151
756	12262	20135
757	12278	20118
758	12293	20100
759	12304	20076
760	12318	20056
761	12334	20040
762	12352	20025
763	12367	20007
764	12388	19999
765	12405	19984
766	12423	19971
767	12440	19957
768	12458	19943
769	12479	19935
770	12494	19916
771	12509	19898
772	12525	19882
773	12538	19860
774	12551	19839
775	12567	19823
776	12584	19808
777	12605	19798
778	12629	19795
779	12648	19782
780	12663	19765
781	12681	19751
782	12698	19736
783	12716	19722
784	12732	19707
785	12746	19688
786	12763	19672
787	12780	19657
788	12808	19658
789	12828	19648
790	12849	19639
791	12865	19623
792	12879	19603
793	12894	19585
794	12909	19567
795	12926	19551
796	12943	19537
797	12958	19518
798	12975	19503
799	12993	19489
800	13011	19476
801	13032	19467
802	13057	19464
803	13086	19466
804	13109	19460
805	13128	19448
806	13146	19434
807	13173	19434
808	13191	19419
809	13209	19406
810	13236	19406
811	13257	19396
812	13272	19378
813	13289	19363
814	13304	19344
815	13318	19325
816	13333	19306
817	13350	19290
818	13370	19280
819	13388	19265
820	13410	19258
821	13429	19244
822	13452	19238
823	13468	19221
824	13486	19207
825	13504	19193
826	13522	19179
827	13543	19170
828	13559	19153
829	13575	19136
830	13593	19122
831	13608	19103
832	13628	19093
833	13645	19077
834	13685	19093
835	13724	19109
836	13743	19096
837	13763	19085
838	13786	19076
839	13813	19076
840	13835	19067
841	13856	19057
842	13872	19040
843	13892	19028
844	13909	19012
845	13924	18994
846	13945	18983
847	13961	18966
848	13979	18952
849	13997	18937
850	14020	18930
851	14041	18920
852	14058	18904
853	14076	18888
854	14093	18873
855	14120	18871
856	14138	18856
857	14155	18840
858	14182	18838
859	14203	18828
860	14236	18832
861	14257	18822
862	14272	18803
863	14292	18792
864	14314	18782
865	14331	18766
866	14346	18748
867	14366	18736
868	14393	18733
869	14417	18725
870	14440	18717
871	14470	18718
872	14487	18702
873	14511	18695
874	14533	18686
875	14549	18669
876	14578	18667
877	14597	18654
878	14614	18638
879	14636	18628
880	14654	18613
881	14682	18611
882	14701	18596
883	14730	18596
884	14771	18610
885	14794	18601
886	14817	18592
887	14846	18591
888	14868	18581
889	14889	18570
890	14928	18581
891	14950	18570
892	14968	18555
893	14990	18545
894	15012	18534
895	15030	18519
896	15052	18509
897	15081	18507
898	15100	18493
899	15122	18482
900	15161	18493
901	15182	18482
902	15210	18478
903	15232	18467
904	15260	18464
905	15282	18453
906	15310	18450
907	15337	18445
908	15356	18430
909	15384	18427
910	15413	18424
911	15461	18444
912	15506	18461
913	15554	18482
914	15573	18466
915	15594	18454
916	15637	18468
917	15677	18478
918	15720	18491
919	15747	18486
920	15776	18482
921	15794	18466
922	15821	18461
923	15851	18459
924	15897	18475
925	15937	18484
926	15955	18468
927	15996	18479
928	16037	18488
929	16065	18484
930	16105	18493
931	16127	18481
932	16167	18489
933	16206	18497
934	16228	18484
935	16249	18472
936	16289	18479
937	16310	18467
938	16329	18451
939	16357	18446
940	16386	18440
941	16414	18435
942	16442	18430
943	16482	18437
944	16510	18432
945	16532	18419
946	16560	18414
947	16578	18396
948	16620	18407
949	16660	18414
950	16689	18409
951	16717	18403
952	16743	18394
953	16764	18381
954	16791	18374
955	16819	18367
956	16861	18376
957	16889	18370
958	16929	18376
959	16955	18368
960	16980	18358
961	17006	18350
962	17046	18355
963	17091	18367
964	17119	18360
965	17160	18368
966	17203	18377
967	17244	18384
968	17273	18378
969	17314	18385
970	17355	18392
971	17397	18399
972	17438	18406
973	17468	18400
974	17490	18387
975	17530	18392
976	17552	18378
977	17591	18383
978	17633	18390
979	17662	18383
980	17702	18388
981	17744	18395
982	17772	18387
983	17813	18392
984	17841	18385
985	17863	18370
986	17885	18356
987	17906	18341
988	17950	18349
989	17978	18341
990	17999	18326
991	18027	18318
992	18069	18323
993	18110	18329
994	18129	18311
995	18171	18317
996	18211	18321
997	18239	18312
998	18268	18304
999	18309	18309
1000	18338	18302
1001	18378	18305
1002	18406	18296
1003	18446	18299
1004	18467	18283
1005	18489	18269
1006	18530	18273
1007	18558	18264
1008	18581	18249
1009	18610	18241
1010	18651	18246
1011	18692	18249
1012	18733	18253
1013	18775	18256
1014	18817	18261
1015	18859	18265
1016	18887	18256
1017	18927	18258
1018	18968	18261
1019	19011	18265
1020	19053	18270
1021	19096	18273
1022	19138	18278
1023	19166	18268
1024	19186	18250
1025	19226	18251
1026	19267	18254
1027	19308	18256
1028	19350	18259
1029	19391	18262
1030	19435	18267
1031	19476	18268
1032	19515	18268
1033	19563	18277
1034	19613	18287
1035	19659	18292
1036	19702	18296
1037	19746	18300
1038	19789	18304
1039	19832	18306
1040	19876	18311
1041	19923	18317
1042	19945	18300
1043	19984	18300
1044	20026	18302
1045	20069	18303
1046	20110	18304
1047	20149	18304
1048	20191	18304
1049	20232	18305
1050	20275	18308
1051	20315	18307
1052	20354	18305
1053	20392	18303
1054	20409	18281
1055	20443	18275
1056	20487	18277
1057	20528	18277
1058	20569	18277
1059	20612	18279
1060	20644	18270
1061	20687	18271
1062	20726	18269
1063	20768	18269
1064	20796	18257
1065	20835	18255
1066	20863	18243
1067	20905	18243
1068	20944	18240
1069	20986	18240
1070	21028	18240
1071	21068	18238
1072	21097	18226
1073	21133	18221
1074	21172	18217
1075	21214	18217
1076	21256	18217
1077	21303	18220
1078	21347	18221
1079	21390	18221
1080	21432	18220
1081	21472	18218
1082	21511	18214
1083	21553	18213
1084	21594	18211
1085	21636	18209
1086	21678	18208
1087	21720	18207
1088	21761	18204
1089	21801	18201
1090	21846	18202
1091	21889	18201
1092	21934	18201
1093	21977	18201
1094	22021	18200
1095	22064	18198
1096	22105	18196
1097	22148	18194
1098	22187	18190
1099	22231	18189
1100	22272	18186
1101	22313	18182
1102	22354	18179
1103	22396	18177
1104	22439	18175
1105	22481	18172
1106	22524	18169
1107	22565	18166
1108	22608	18164
1109	22650	18161
1110	22692	18158
1111	22735	18155
1112	22776	18151
1113	22820	18149
1114	22863	18147
1115	22907	18145
1116	22951	18143
1117	22994	18140
1118	23038	18138
1119	23081	18135
1120	23125	18133
1121	23167	18129
1122	23208	18124
1123	23249	18119
1124	23291	18115
1125	23335	18112
1126	23376	18108
1127	23418	18103
1128	23459	18098
1129	23503	18095
1130	23546	18092
1131	23590	18088
1132	23632	18083
1133	23675	18080
1134	23718	18075
1135	23760	18071
1136	23804	18068
1137	23847	18064
1138	23892	18060
1139	23918	18043
1140	23959	18038
1141	23998	18030
1142	24037	18023
1143	24079	18017
1144	24123	18013
1145	24166	18009
1146	24208	18003
1147	24251	17998
1148	24294	17993
1149	24324	17979
1150	24367	17973
1151	24396	17958
1152	24438	17952
1153	24481	17947
1154	24524	17942
1155	24568	17937
1156	24617	17936
1157	24661	17931
1158	24702	17924
1159	24744	17918
1160	24786	17912
1161	24829	17905
1162	24857	17889
1163	24901	17884
1164	24942	17877
1165	24985	17871
1166	25029	17865
1167	25071	17859
1168	25114	17852
1169	25156	17846
1170	25199	17839
1171	25242	17833
1172	25284	17826
1173	25327	17819
1174	25370	17813
1175	25411	17805
1176	25452	17797
1177	25495	17790
1178	25538	17783
1179	25583	17778
1180	25626	17771
1181	25670	17764
1182	25712	17757
1183	25756	17751
1184	25799	17744
1185	25843	17737
1186	25888	17731
1187	25932	17724
1188	25975	17717
1189	26017	17709
1190	26060	17701
1191	26103	17694
1192	26145	17686
1193	26189	17678
1194	26232	17671
1195	26276	17664
1196	26319	17656
1197	26362	17648
1198	26405	17640
1199	26448	17632
1200	26492	17624
1201	26536	17617
1202	26579	17609
1203	26627	17604
1204	26672	17597
1205	26715	17588
1206	26767	17585
1207	26810	17577
1208	26854	17569
1209	26897	17561
1210	26941	17553
1211	26985	17544
1212	27028	17536
1213	27072	17528
1214	27116	17519
1215	27160	17511
1216	27203	17502
1217	27246	17493
1218	27289	17484
1219	27334	17475
1220	27377	17466
1221	27420	17457
1222	27463	17448
1223	27507	17439
1224	27551	17430
1225	27595	17421
1226	27639	17412
1227	27682	17402
1228	27727	17394
1229	27770	17384
1230	27814	17375
1231	27858	17366
1232	27901	17356
1233	27945	17347
1234	27989	17337
1235	28036	17330
1236	28084	17323
1237	28127	17312
1238	28175	17305
1239	28218	17295
1240	28265	17287
1241	28308	17276
1242	28351	17266
1243	28394	17255
1244	28438	17245
1245	28481	17235
1246	28525	17225
1247	28568	17214
1248	28613	17204
1249	28658	17195
1250	28702	17184
1251	28746	17174
1252	28788	17163
1253	28832	17152
1254	28876	17141
1255	28920	17131
1256	28964	17120
1257	29009	17110
1258	29053	17099
1259	29097	17088
1260	29141	17078
1261	29186	17068
1262	29230	17057
1263	29274	17045
1264	29317	17034
1265	29360	17022
1266	29405	17012
1267	29449	17000
1268	29494	16990
1269	29540	16980
1270	29585	16969
1271	29630	16958
1272	29674	16946
1273	29719	16936
1274	29763	16924
1275	29807	16912
1276	29851	16901
1277	29895	16889
1278	29941	16878
1279	29986	16867
1280	30031	16856
1281	30075	16844
1282	30118	16831
1283	30162	16819
1284	30206	16807
1285	30250	16795
1286	30296	16784
1287	30341	16772
1288	30388	16761
1289	30432	16749
1290	30479	16738
1291	30525	16727
1292	30570	16715
1293	30615	16703
1294	30664	16693
1295	30709	16681
1296	30756	16670
1297	30802	16658
1298	30848	16647
1299	30892	16634
1300	30935	16620
1301	30985	16611
1302	31029	16598
1303	31074	16585
1304	31119	16573
1305	31164	16560
1306	31207	16546
1307	31250	16533
1308	31295	16520
1309	31340	16507
1310	31383	16493
1311	31428	16480
1312	31471	16467
1313	31516	16453
1314	31561	16440
1315	31606	16427
1316	31651	16414
1317	31696	16401
1318	31742	16388
1319	31787	16375
1320	31832	16362
1321	31880	16350
1322	31924	16336
1323	31968	16322
1324	32012	16308
1325	32062	16297
1326	32110	16285
1327	32154	16270
1328	32203	16259
1329	32248	16245
1330	32293	16231
1331	32338	16217
1332	32384	16204
1333	32429	16190
1334	32474	16176
1335	32520	16162
1336	32562	16147
1337	32604	16131
1338	32648	16116
1339	32691	16101
1340	32733	16085
1341	32773	16069
1342	32816	16054
1343	32861	16039
1344	32902	16023
1345	32944	16007
1346	32988	15992
1347	33033	15977
1348	33074	15961
1349	33116	15945
1350	33160	15929
1351	33205	15915
1352	33245	15897
1353	33287	15881
1354	33332	15866
1355	33375	15851
1356	33420	15836
1357	33463	15820
1358	33507	15804
1359	33552	15789
1360	33601	15776
1361	33645	15760
1362	33688	15744
1363	33733	15729
1364	33777	15713
1365	33823	15698
1366	33867	15682
1367	33912	15667
1368	33957	15651
1369	34001	15635
1370	34045	15619
1371	34089	15603
1372	34133	15587
1373	34176	15571
1374	34222	15555
1375	34267	15539
1376	34310	15523
1377	34353	15506
1378	34411	15496
1379	34454	15479
1380	34496	15462
1381	34541	15446
1382	34586	15430
1383	34630	15413
1384	34673	15396
1385	34719	15380
1386	34762	15363
1387	34806	15346
1388	34851	15330
1389	34896	15314
1390	34940	15297
1391	34984	15280
1392	35028	15263
1393	35072	15246
1394	35117	15230
1395	35161	15213
1396	35205	15196
1397	35253	15180
1398	35297	15163
1399	35341	15146
1400	35386	15129
1401	35429	15112
1402	35474	15094
1403	35517	15077
1404	35561	15059
1405	35606	15042
1406	35651	15025
1407	35695	15008
1408	35738	14990
1409	35782	14972
1410	35826	14955
1411	35871	14938
1412	35917	14920
1413	35961	14903
1414	36010	14887
1415	36058	14871
1416	36102	14853
1417	36146	14835
1418	36190	14818
1419	36236	14801
1420	36283	14783
1421	36327	14766
1422	36373	14748
1423	36418	14731
1424	36461	14712
1425	36505	14694
1426	36548	14675
1427	36595	14658
1428	36641	14641
1429	36688	14624
1430	36735	14606
1431	36780	14588
1432	36826	14571
1433	36873	14553
1434	36919	14536
1435	36966	14518
1436	37012	14501
1437	37058	14483
1438	37103	14465
1439	37150	14447
1440	37201	14431
1441	37246	14412
1442	37289	14393
1443	37333	14375
1444	37377	14356
1445	37420	14336
1446	37464	14317
1447	37507	14298
1448	37551	14279
1449	37597	14260
1450	37642	14242
1451	37688	14223
1452	37735	14205
1453	37779	14186
1454	37824	14168
1455	37868	14148
1456	37912	14129
1457	37962	14112
1458	38007	14093
1459	38053	14074
1460	38097	14055
1461	38141	14035
1462	38190	14018
1463	38238	13999
1464	38281	13980
1465	38326	13960
1466	38371	13941
1467	38418	13922
1468	38464	13903
1469	38509	13884
1470	38557	13865
1471	38604	13847
1472	38651	13828
1473	38699	13809
1474	38745	13790
1475	38794	13772
1476	38840	13753
1477	38883	13733
1478	38927	13712
1479	38971	13692
1480	39015	13672
1481	39059	13652
1482	39101	13631
1483	39145	13611
1484	39191	13591
1485	39238	13572
1486	39282	13552
1487	39325	13531
1488	39374	13512
1489	39417	13492
1490	39462	13471
1491	39510	13452
1492	39554	13432
1493	39602	13412
1494	39647	13392
1495	39695	13373
1496	39741	13353
1497	39784	13332
1498	39830	13312
1499	39874	13291
1500	39920	13271
1501	39964	13250
1502	40010	13230
1503	40058	13210
1504	40103	13190
1505	40149	13170
1506	40195	13149
1507	40240	13128
