,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
27,0.24332139886567697,0.8949978207998918,74.08763739241942,34.0,1.9955311909127484
53,0.3297768622406372,0.25903826235286415,9.74511801099571,23.0,1.9987331596034177
54,0.4708609084078301,0.2109879644055227,56.31710443275495,28.0,1.9990022762729152
62,0.9242396979868873,0.11587770949819001,35.373723236663075,5.0,2.0067192251990162
13,0.9422862849279587,0.5084128624214471,34.43695309648921,41.0,2.007796258567677
47,0.6099390797548222,0.24952217799235424,32.17057347145195,43.0,2.009988786246602
90,0.9993189836546424,0.13264122731841574,27.20766373752482,5.0,2.010776760818404
71,0.8710346273288051,0.6597844195535578,31.39438804744355,5.0,2.0150362952092395
98,0.8916026870001674,0.41253135988854917,5.306586305958888,18.0,2.0155613912078088
32,0.3498917549932996,0.7708881152802335,61.89294413063604,4.0,2.0161656116045457
29,0.5105495813876376,0.6270260984877424,75.57598499322181,4.0,2.016783704113874
14,0.5627335870204013,0.2962667092361799,6.573948123320826,22.0,2.0314356857420104
59,0.8746551984890611,0.4557107390696621,25.04896759199527,6.0,2.032522868107178
41,0.5451157097489431,0.04675418243472507,70.60716658040943,6.0,2.0347208495046774
86,0.8086844755174001,0.06016490453258233,33.230066036345754,14.0,2.038305807148685
55,0.7353409964866523,0.49372318842703633,0.5515768621163701,37.0,2.041849260339406
57,0.830034814046689,0.3282808683441054,18.928891821062503,31.0,2.043319511080239
11,0.6863026737790053,0.42705832856226467,27.65916186003749,7.0,2.0459464285789983
92,0.3959329008733002,0.23329099609521692,22.7787557867823,4.0,2.0479218015008653
80,0.6344018437336292,0.22757090027007898,1.8908477683039564,7.0,2.049359659094789
73,0.6949979983364684,0.5537717084379116,8.420589499378728,13.0,2.054313094339763
50,0.6494766132204611,0.009583808889635448,71.71572364231343,12.0,2.06450880925823
12,0.1547467007744734,0.8436474253888664,15.03381726945684,22.0,2.067035000585218
1,0.455067803310061,0.03584542947256097,49.951892047703645,19.0,2.0687005849996902
17,0.7752823133290375,0.35110555497276774,5.020289348895213,29.0,2.076431123395302
8,0.41627476988269707,0.1664455755025114,4.10523711969717,12.0,2.078410715267032
19,0.9811714356416117,0.6174143863687114,13.493810893819221,9.0,2.085195119580633
99,0.92730523854873,0.01984772938913848,73.87688643677228,35.0,2.1176260754173732
76,0.6617361843665248,0.728191734573667,16.52799498272107,5.0,2.130254052583022
97,0.6299236500873308,0.7891483621156297,12.477237140700062,6.0,2.1550072066689614
