,alpha,colsample_bytree,gamma,lambda,max_depth,min_child_weight,subsample,loss
45,19.46720774987336,0.3713864876783488,91.86668238945336,17.941175260788363,2.0,6.259050862439448,0.8669985167171564,6.659892164298989
1,10.111948923826635,0.10907794154077707,33.360516898699885,4.990853298722348,3.0,2.9653741228219146,0.95364314254971,6.661193286111572
54,28.33011054680159,0.4918874665861141,13.14755365417222,14.505262974045372,3.0,1.9555549399893228,0.989933193315107,6.664854144435609
80,24.0362075580214,0.5305815039903187,55.64539211336367,40.64857038820395,3.0,52.05405746807999,0.7171934848179276,6.670762125198504
8,17.125289878179313,0.052184300186786534,16.987932453369062,38.206679892665285,3.0,46.246443446206,0.6672101659321013,6.673055594457732
53,12.184930411284045,0.4152917288589406,68.01850516308498,44.8354136089221,4.0,101.49607137180136,0.5800660669451971,6.674701990939077
39,8.20180896280501,0.27558893737470613,73.90174257788765,16.177391608229993,4.0,45.8868679224135,0.8231372523125648,6.675099069013384
43,6.770383070735619,0.33683106138907754,68.87154644026752,23.361154580436327,4.0,0.8945400964449702,0.5402531201063947,6.67909517684194
35,10.379491106047144,0.8518704461835411,96.07194490331179,10.105424101214698,4.0,7.644540018435405,0.7642540748559343,6.685808692720848
50,24.526610101118415,0.2775714190595704,93.84180016565215,3.082917221341564,2.0,4.132260091996228,0.8157830466362443,6.685854392008647
82,17.938570196673524,0.5858182536789651,74.93572328593413,12.528310376709634,3.0,14.609695420177635,0.7562396405682047,6.692497597842553
56,20.561428287333193,0.18103160249623707,60.38034301239237,5.8457587902834405,4.0,1.00364173571216,0.7538272653302642,6.697945051731906
41,37.70308753819465,0.19242864177568386,28.46592177298148,7.479248731759213,3.0,16.199974454664634,0.8672795318149238,6.703937881125496
72,13.604683340121102,0.21240940450539839,76.29994419696119,17.54170714965329,4.0,48.12023824341093,0.9524176038558061,6.70575555916279
2,9.596891789309197,0.7182255467531786,72.06606057209383,9.006100753728363,2.0,26.301284375030225,0.4265820571843806,6.707870303107757
51,31.769099554036778,0.05213741907788097,85.55436847126866,26.493140327346822,3.0,36.68679817452697,0.8410350530320815,6.717883193123362
