feature_shap,feature
0.01831,value__linear_trend__attr_slope_p12_rougher.input.feed_sol
0.01819,value__min_slope_p6_rougher.input.feed_fe
0.01800,value__skewness_p12_rougher.input.feed_fe
0.01799,value__quantile__q_0.95_p120_rougher.input.floatbank10_copper_sulfate
0.01792,value__min_slope_p6_primary_cleaner.input.xanthate
0.01789,value__maximum_p6_rougher.state.floatbank10_b_air
0.01785,value__quantile__q_0.95_p12_primary_cleaner.input.copper_sulfate
0.01784,rougher.input.feed_rate_normalized
0.01778,value__skewness_p120_rougher.state.floatbank10_b_air
0.01765,encod_rel_primary_cleaner.input.depressant
0.01756,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01749,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.01748,value__mean_abs_change_p24_rougher.input.feed_pb
0.01741,deriv2_rougher.input.feed_rate
0.01739,value__linear_trend__attr_slope_p12_rougher.input.feed_pb
0.01737,diff_primary_cleaner.state.floatbank8_d_level_s2b0
0.01731,value__min_slope_p24_rougher.input.feed_zn
0.01728,value__linear_trend__attr_slope_p24_rougher.input.floatbank10_copper_sulfate
0.01726,deriv1_primary_cleaner.input.depressant
0.01725,value__max_slope_p120_rougher.state.floatbank10_b_air
0.01719,primary_cleaner.state.floatbank8_c_level
0.01715,value__quantile__q_0.95_p120_primary_cleaner.input.copper_sulfate
0.01698,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.01696,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_sol
0.01694,value__linear_trend__attr_slope_p120_secondary_cleaner.state.floatbank5_a_air
0.01692,value__mean_abs_change_p120_rougher.input.floatbank11_xanthate
0.01689,value__skewness_p120_rougher.input.feed_pb
0.01673,encod_rel_rougher.input.feed_zn
0.01670,value__mean_p6_primary_cleaner.input.copper_sulfate
0.01667,hour
0.01655,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_sol
0.01644,value__max_min_diff_p24_primary_cleaner.input.xanthate
0.01644,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.01644,value__linear_trend__attr_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.01643,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.01640,value__mean_abs_change_p24_rougher.state.floatbank10_b_air
0.01631,deriv2_primary_cleaner.state.floatbank8_c_level
0.01619,value__quantile__q_0.05_p120_primary_cleaner.input.feed_size
0.01618,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_zn
0.01617,diff_rougher.state.floatbank10_c_level_s2b0
0.01583,deriv2_rougher.input.floatbank10_xanthate
0.01579,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.01577,daily_avg_rougher
0.01573,diff_rougher.input.feed_sol_s2b0
0.01564,value__min_slope_p12_rougher.input.feed_rate
0.01561,value__min_slope_p24_rougher.input.feed_pb
0.01546,primary_cleaner.input.feed_size_normalized
0.01539,value__min_slope_p24_primary_cleaner.input.copper_sulfate
0.01537,value__mean_abs_change_p24_rougher.input.feed_zn
0.01532,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.depressant
0.01527,value__min_slope_p6_rougher.input.feed_zn
0.01502,value__kurtosis_p120_rougher.input.feed_fe
0.01500,value__skewness_p120_primary_cleaner.input.xanthate
0.01499,value__mean_abs_change_p120_rougher.input.feed_sol
0.01488,value__mean_p6_rougher.input.feed_rate
0.01487,value__mean_abs_change_p24_rougher.input.floatbank11_xanthate
0.01482,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.01481,diff_rougher.input.feed_size_s3b1
0.01479,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.01475,value__maximum_p6_secondary_cleaner.state.floatbank5_a_air
0.01474,deriv3_primary_cleaner.input.copper_sulfate
0.01464,value__skewness_p24_rougher.state.floatbank10_b_air
0.01463,secondary_cleaner.state.floatbank6_a_level
0.01463,rel_primary_cleaner.state.floatbank8_d_level_s3b0
0.01460,diff_primary_cleaner.state.floatbank8_c_level_s2b0
0.01444,value__kurtosis_p120_primary_cleaner.state.floatbank8_a_air
0.01440,value__kurtosis_p120_rougher.input.feed_rate
0.01439,value__mean_abs_change_p24_primary_cleaner.input.copper_sulfate
0.01438,value__minimum_p6_primary_cleaner.input.xanthate
0.01438,value__max_slope_p120_rougher.input.feed_rate
0.01418,value__skewness_p12_rougher.input.feed_zn
0.01414,value__min_slope_p120_primary_cleaner.input.depressant
0.01411,value__linear_trend__attr_slope_p120_rougher.input.floatbank11_xanthate
0.01401,encod_rel_rougher.input.feed_fe
0.01390,value__linear_trend__attr_slope_p12_primary_cleaner.input.xanthate
0.01388,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.feed_size
0.01387,value__min_slope_p120_rougher.input.feed_pb
0.01372,value__min_slope_p24_rougher.state.floatbank10_b_air
0.01368,value__mean_abs_change_p120_rougher.input.feed_zn
0.01365,deriv2_primary_cleaner.state.floatbank8_d_level
0.01352,value__max_slope_p120_primary_cleaner.input.depressant
0.01341,value__quantile__q_0.05_p120_primary_cleaner.input.depressant
0.01332,value__max_slope_p120_rougher.input.feed_pb
0.01314,diff_primary_cleaner.input.copper_sulfate_s3b1
0.01285,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.xanthate
0.01274,value__max_slope_p12_rougher.input.feed_rate
0.01270,value__linear_trend__attr_slope_p120_rougher.input.feed_rate
0.01262,value__mean_abs_change_p12_primary_cleaner.input.xanthate
0.01261,secondary_cleaner.state.floatbank6_a_air
0.01259,value__max_slope_p120_rougher.input.feed_zn
0.01258,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_zn
0.01254,value__fft_aggregated__aggtype_kurtosis_p120_secondary_cleaner.state.floatbank5_a_air
0.01253,value__mean_abs_change_p120_rougher.input.feed_fe
0.01252,value__min_slope_p6_primary_cleaner.input.copper_sulfate
0.01251,deriv1_rougher.input.feed_sol
0.01246,value__skewness_p24_primary_cleaner.input.copper_sulfate
0.01243,value__min_slope_p6_rougher.input.feed_sol
0.01243,value__mean_abs_change_p24_primary_cleaner.input.feed_size
0.01241,diff_primary_cleaner.state.floatbank8_d_level_s3b1
0.01239,rougher.state.floatbank10_a_air
0.01237,primary_cleaner.state.floatbank8_d_air
0.01237,rougher.input.feed_sol
0.01233,value__fft_aggregated__aggtype_kurtosis_p120_primary_cleaner.input.copper_sulfate
0.01221,value__max_min_diff_p12_primary_cleaner.state.floatbank8_a_air
0.01219,value__kurtosis_p12_primary_cleaner.input.copper_sulfate
0.01216,value__min_slope_p24_primary_cleaner.input.depressant
0.01210,value__max_min_diff_p120_rougher.input.feed_fe
0.01205,value__quantile__q_0.05_p120_rougher.input.feed_pb
0.01196,value__mean_abs_change_p120_primary_cleaner.input.copper_sulfate
0.01193,value__skewness_p24_rougher.input.floatbank10_copper_sulfate
0.01191,value__max_min_diff_p24_rougher.state.floatbank10_b_air
0.01186,value__skewness_p120_primary_cleaner.input.copper_sulfate
0.01179,value__quantile__q_0.05_p12_primary_cleaner.input.copper_sulfate
0.01178,value__skewness_p24_rougher.input.feed_zn
0.01175,value__max_slope_p120_secondary_cleaner.state.floatbank5_a_air
0.01174,value__skewness_p24_rougher.input.feed_sol
0.01170,value__kurtosis_p12_rougher.input.feed_fe
0.01163,value__minimum_p6_primary_cleaner.input.depressant
0.01157,deriv3_primary_cleaner.state.floatbank8_d_level
0.01151,value__mean_second_derivative_central_p6_rougher.input.floatbank11_xanthate
0.01150,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.01138,value__quantile__q_0.95_p24_secondary_cleaner.state.floatbank5_a_air
0.01137,value__min_slope_p12_rougher.input.feed_fe
0.01136,value__kurtosis_p24_rougher.input.feed_sol
0.01123,value__quantile__q_0.05_p12_primary_cleaner.input.depressant
0.01121,encod_dif_primary_cleaner.input.xanthate
0.01119,value__min_slope_p24_rougher.input.feed_fe
0.01114,value__linear_trend__attr_slope_p24_rougher.input.floatbank11_xanthate
0.01111,value__quantile__q_0.05_p120_rougher.input.feed_fe
0.01099,value__skewness_p24_primary_cleaner.state.floatbank8_a_air
0.01097,value__quantile__q_0.05_p24_rougher.input.feed_pb
0.01096,value__kurtosis_p120_primary_cleaner.input.xanthate
0.01095,value__linear_trend__attr_slope_p120_primary_cleaner.input.xanthate
0.01095,value__kurtosis_p12_rougher.input.feed_rate
0.01091,value__minimum_p6_rougher.input.feed_zn
0.01091,value__max_min_diff_p120_primary_cleaner.input.copper_sulfate
0.01090,value__fft_aggregated__aggtype_centroid_p12_rougher.input.floatbank11_xanthate
0.01088,encod_rel_primary_cleaner.input.xanthate
0.01088,value__skewness_p24_primary_cleaner.input.feed_size
0.01084,value__min_slope_p12_rougher.input.floatbank10_copper_sulfate
0.01083,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank11_xanthate
0.01077,value__mean_abs_change_p24_primary_cleaner.input.depressant
0.01076,value__max_slope_p120_rougher.input.feed_fe
0.01073,value__min_slope_p12_rougher.input.feed_zn
0.01071,value__quantile__q_0.05_p24_primary_cleaner.input.feed_size
0.01059,value__linear_trend__attr_slope_p12_primary_cleaner.input.depressant
0.01057,value__mean_abs_change_p12_primary_cleaner.state.floatbank8_a_air
0.01048,value__skewness_p120_primary_cleaner.input.depressant
0.01046,value__max_slope_p24_rougher.state.floatbank10_b_air
0.01044,value__quantile__q_0.05_p24_rougher.input.floatbank10_copper_sulfate
