feature_shap,feature
0.00945,value__min_slope_p12_rougher.input.feed_pb
0.00944,value__max_slope_p6_rougher.input.floatbank10_copper_sulfate
0.00942,value__max_slope_p6_rougher.input.floatbank11_xanthate
0.00941,value__max_min_diff_p24_rougher.input.feed_rate
0.00938,value__max_slope_p6_rougher.input.feed_zn
0.00934,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.00929,value__quantile__q_0.05_p12_rougher.input.feed_rate
0.00928,value__max_slope_p24_rougher.input.feed_rate
0.00925,value__max_slope_p24_rougher.input.feed_pb
0.00922,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank10_copper_sulfate
0.00919,deriv2_rougher.input.feed_rate
0.00914,rel_encod_val_rougher.input.feed_zn_s3b0
0.00911,value__min_slope_p6_rougher.input.feed_fe
0.00910,value__max_min_diff_p12_rougher.input.feed_rate
0.00909,rougher.input.feed_fe_normalized
0.00906,value__skewness_p24_rougher.input.feed_fe
0.00900,value__max_min_diff_p24_rougher.input.feed_sol
0.00897,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank10_copper_sulfate
0.00896,value__mean_abs_change_p24_rougher.input.floatbank11_xanthate
0.00893,value__minimum_p6_rougher.input.feed_pb
0.00888,value__max_min_diff_p24_rougher.input.feed_pb
0.00887,value__mean_abs_change_p24_rougher.input.floatbank10_copper_sulfate
0.00883,value__skewness_p24_rougher.input.floatbank11_xanthate
0.00880,value__fft_aggregated__aggtype_skew_p24_rougher.input.floatbank11_xanthate
0.00876,value__skewness_p24_rougher.input.feed_rate
0.00856,value__fft_aggregated__aggtype_variance_p12_rougher.state.floatbank10_b_air
0.00847,value__max_slope_p24_rougher.state.floatbank10_b_air
0.00835,value__max_min_diff_p6_rougher.input.feed_sol
0.00827,value__linear_trend__attr_slope_p12_rougher.input.floatbank11_xanthate
0.00823,value__fft_aggregated__aggtype_centroid_p120_rougher.input.floatbank11_xanthate
0.00819,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank11_xanthate
0.00813,value__linear_trend__attr_slope_p24_rougher.input.feed_pb
0.00810,value__mean_abs_change_p6_rougher.input.feed_sol
0.00808,value__min_slope_p6_rougher.input.floatbank11_xanthate
0.00802,value__min_slope_p12_rougher.input.floatbank11_xanthate
0.00802,value__max_slope_p6_rougher.input.feed_rate
0.00800,value__max_slope_p12_rougher.input.floatbank10_copper_sulfate
0.00800,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_pb
0.00785,value__max_slope_p12_rougher.input.feed_pb
0.00773,value__maximum_p6_rougher.input.feed_zn
0.00767,value__skewness_p24_rougher.input.feed_zn
0.00755,value__minimum_p6_rougher.input.feed_fe
0.00753,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_rate
0.00750,value__mean_p6_rougher.input.floatbank10_copper_sulfate
0.00748,deriv1_encod_rel_rougher.input.feed_zn
0.00744,value__skewness_p12_rougher.state.floatbank10_b_air
0.00743,value__fft_aggregated__aggtype_centroid_p120_rougher.input.floatbank10_copper_sulfate
0.00740,rel_rougher.input.floatbank11_xanthate_s3b0
0.00736,value__max_slope_p12_rougher.input.feed_rate
0.00734,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.00729,value__quantile__q_0.05_p24_rougher.input.feed_pb
0.00719,value__min_slope_p120_rougher.input.feed_zn
0.00718,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_rate
0.00717,value__mean_abs_change_p6_rougher.input.feed_zn
0.00715,value__max_min_diff_p24_rougher.input.floatbank11_xanthate
0.00714,value__linear_trend__attr_slope_p24_rougher.input.floatbank10_copper_sulfate
0.00712,value__max_min_diff_p6_rougher.input.floatbank10_copper_sulfate
0.00710,value__min_slope_p24_rougher.input.feed_pb
0.00710,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_sol
0.00710,value__mean_second_derivative_central_p6_rougher.input.feed_rate
0.00704,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.floatbank11_xanthate
0.00702,diff_encod_rel_rougher.input.feed_fe_s3b1
0.00702,value__fft_aggregated__aggtype_variance_p12_rougher.input.floatbank10_copper_sulfate
0.00701,value__max_min_diff_p12_rougher.input.feed_pb
0.00700,value__kurtosis_p24_rougher.input.feed_pb
0.00700,value__mean_p6_rougher.input.feed_pb
0.00697,diff_rougher.input.feed_pb_s3b1
0.00692,value__max_slope_p12_rougher.state.floatbank10_b_air
0.00685,value__max_slope_p24_rougher.input.floatbank11_xanthate
0.00685,value__mean_abs_change_p12_rougher.input.feed_zn
0.00681,value__mean_second_derivative_central_p6_rougher.input.floatbank11_xanthate
0.00678,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.00671,value__min_slope_p12_rougher.input.feed_fe
0.00670,deriv2_rougher.input.feed_pb
0.00670,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_rate
0.00667,value__linear_trend__attr_slope_p24_rougher.input.feed_zn
0.00667,value__max_slope_p6_rougher.input.feed_pb
0.00653,value__max_min_diff_p24_rougher.input.feed_zn
0.00651,value__mean_p6_rougher.input.feed_zn
0.00650,value__fft_aggregated__aggtype_skew_p24_rougher.input.floatbank10_copper_sulfate
0.00647,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.00644,value__kurtosis_p24_rougher.input.feed_zn
0.00641,value__quantile__q_0.05_p12_rougher.input.floatbank10_copper_sulfate
0.00638,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_rate
0.00634,diff_rougher.input.floatbank10_copper_sulfate_s2b0
0.00633,value__kurtosis_p24_rougher.input.feed_sol
0.00630,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_zn
0.00623,value__skewness_p24_rougher.state.floatbank10_b_air
